# Demo: Ni 2p3/2 of partially oxidized Ni foam (synthetic)
# Instrument: synthetic Al Kalpha, pass 20 eV
# BE(eV)	counts
862.60	14178.4
862.65	14110.0
862.70	14027.6
862.75	13923.5
862.80	13866.8
862.85	13770.2
862.90	13710.7
862.95	13666.4
863.00	13706.8
863.05	13579.1
863.10	13476.4
863.15	13381.4
863.20	13319.8
863.25	13418.1
863.30	13286.7
863.35	13202.1
863.40	13120.6
863.45	13016.5
863.50	13037.6
863.55	13052.9
863.60	12918.6
863.65	12883.6
863.70	12839.1
863.75	12818.1
863.80	12660.5
863.85	12711.9
863.90	12630.8
863.95	12710.4
864.00	12562.3
864.05	12617.9
864.10	12647.7
864.15	12491.8
864.20	12441.4
864.25	12464.8
864.30	12423.3
864.35	12329.7
864.40	12400.7
864.45	12479.4
864.50	12304.1
864.55	12285.1
864.60	12207.6
864.65	12277.7
864.70	12154.2
864.75	12145.0
864.80	12285.7
864.85	12124.2
864.90	12239.9
864.95	12254.2
865.00	12156.3
865.05	12162.3
865.10	12241.9
865.15	12088.0
865.20	12050.6
865.25	11989.8
865.30	12071.7
865.35	12156.8
865.40	12113.6
865.45	11979.9
865.50	11977.7
865.55	11993.3
865.60	12038.6
865.65	11999.2
865.70	12020.6
865.75	12020.0
865.80	11975.3
865.85	11987.1
865.90	11998.4
865.95	11974.6
866.00	12008.8
866.05	12094.4
866.10	12006.6
866.15	11967.7
866.20	11849.9
866.25	11982.7
866.30	11826.5
866.35	11858.8
866.40	12004.5
866.45	11992.1
866.50	11933.5
866.55	11828.8
866.60	11914.4
866.65	11892.1
866.70	11976.3
866.75	12080.6
866.80	11945.0
866.85	11877.9
866.90	11850.6
866.95	11922.0
867.00	11912.5
867.05	11847.2
867.10	11928.8
867.15	11844.4
867.20	11991.3
867.25	11986.8
867.30	11987.0
867.35	11883.8
867.40	11947.3
867.45	11903.9
867.50	11886.0
867.55	11888.2
867.60	11824.3
867.65	11813.9
867.70	11959.5
867.75	11894.0
867.80	11919.8
867.85	11970.4
867.90	11790.5
867.95	11851.8
